,path,mask,gender,age,mask_error,age_error,gender_error,id
0,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/incorrect_mask.jpg,1,1,0,False,False,False,0
1,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask2.jpg,0,1,0,False,False,False,1
2,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask1.jpg,0,1,0,False,False,False,2
3,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/normal.jpg,2,1,0,False,False,False,3
4,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask3.jpg,0,1,0,False,False,False,4
5,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask4.jpg,0,1,0,False,False,False,5
6,/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask5.jpg,0,1,0,False,False,False,6
7,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask1.jpg,0,1,1,False,False,False,7
8,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask3.jpg,0,1,1,False,False,False,8
9,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask4.jpg,0,1,1,False,False,False,9
10,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/normal.jpg,2,1,1,False,False,False,10
11,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask2.jpg,0,1,1,False,False,False,11
12,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask5.jpg,0,1,1,False,False,False,12
13,/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/incorrect_mask.jpg,1,1,1,False,False,False,13
14,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,1,1,2,False,False,False,14
15,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,0,1,2,False,False,False,15
16,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2,1,2,False,False,False,16
17,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,0,1,2,False,False,False,17
18,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,0,1,2,False,False,False,18
19,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask4.jpg,0,1,2,False,False,False,19
20,/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask5.jpg,0,1,2,False,False,False,20
21,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/incorrect_mask.jpg,1,1,2,False,False,False,21
22,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/normal.jpg,2,1,2,False,False,False,22
23,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/mask2.jpg,0,1,2,False,False,False,23
24,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/mask1.jpg,0,1,2,False,False,False,24
25,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/mask3.jpg,0,1,2,False,False,False,25
26,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/mask4.jpg,0,1,2,False,False,False,26
27,/opt/ml/input/data/train/images_segmented/003710_female_Asian_60/mask5.jpg,0,1,2,False,False,False,27
28,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/mask4.jpg,0,0,1,False,False,False,28
29,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/mask1.jpg,0,0,1,False,False,False,29
30,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/incorrect_mask.jpg,1,0,1,False,False,False,30
31,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/mask5.jpg,0,0,1,False,False,False,31
32,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/normal.jpg,2,0,1,False,False,False,32
33,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/mask3.jpg,0,0,1,False,False,False,33
34,/opt/ml/input/data/train/images_segmented/004367_male_Asian_52/mask2.jpg,0,0,1,False,False,False,34
35,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/normal.jpg,2,0,1,False,False,False,35
36,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/mask3.jpg,0,0,1,False,False,False,36
37,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/mask5.jpg,0,0,1,False,False,False,37
38,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/mask1.jpg,0,0,1,False,False,False,38
39,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/incorrect_mask.jpg,1,0,1,False,False,False,39
40,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/mask4.jpg,0,0,1,False,False,False,40
41,/opt/ml/input/data/train/images_segmented/003860_male_Asian_54/mask2.jpg,0,0,1,False,False,False,41
