,path,mask
0,000001_female_Asian_45/incorrect_mask.jpg,1
1,000001_female_Asian_45/mask4.jpg,0
2,000001_female_Asian_45/mask5.jpg,0
3,000001_female_Asian_45/mask1.jpg,0
4,000001_female_Asian_45/normal.jpg,2
5,000001_female_Asian_45/mask2.jpg,0
6,000001_female_Asian_45/mask3.jpg,0
7,000002_female_Asian_52/incorrect_mask.jpg,1
8,000002_female_Asian_52/mask4.jpg,0
9,000002_female_Asian_52/mask5.jpg,0
10,000002_female_Asian_52/mask1.jpg,0
11,000002_female_Asian_52/normal.jpg,2
12,000002_female_Asian_52/mask2.jpg,0
13,000002_female_Asian_52/mask3.jpg,0
14,000004_male_Asian_54/incorrect_mask.jpg,1
15,000004_male_Asian_54/mask4.jpg,0
16,000004_male_Asian_54/mask5.jpg,0
17,000004_male_Asian_54/mask1.jpg,0
18,000004_male_Asian_54/normal.jpg,2
19,000004_male_Asian_54/mask2.jpg,0
20,000004_male_Asian_54/mask3.jpg,0
21,000005_female_Asian_58/incorrect_mask.jpg,1
22,000005_female_Asian_58/mask4.jpg,0
23,000005_female_Asian_58/mask5.jpg,0
24,000005_female_Asian_58/mask1.jpg,0
25,000005_female_Asian_58/normal.jpg,2
26,000005_female_Asian_58/mask2.jpg,0
27,000005_female_Asian_58/mask3.jpg,0
28,000006_female_Asian_59/incorrect_mask.jpg,1
29,000006_female_Asian_59/mask4.jpg,0
30,000006_female_Asian_59/mask5.jpg,0
31,000006_female_Asian_59/mask1.jpg,0
32,000006_female_Asian_59/normal.jpg,2
33,000006_female_Asian_59/mask2.jpg,0
34,000006_female_Asian_59/mask3.jpg,0
35,000007_female_Asian_58/incorrect_mask.jpg,1
36,000007_female_Asian_58/mask4.jpg,0
37,000007_female_Asian_58/mask5.jpg,0
38,000007_female_Asian_58/mask1.jpg,0
39,000007_female_Asian_58/normal.jpg,2
40,000007_female_Asian_58/mask2.jpg,0
41,000007_female_Asian_58/mask3.jpg,0
42,000008_female_Asian_58/incorrect_mask.jpg,1
43,000008_female_Asian_58/mask4.jpg,0
44,000008_female_Asian_58/mask5.jpg,0
45,000008_female_Asian_58/mask1.jpg,0
46,000008_female_Asian_58/normal.jpg,2
47,000008_female_Asian_58/mask2.jpg,0
48,000008_female_Asian_58/mask3.jpg,0
49,000009_female_Asian_56/incorrect_mask.jpg,1
