path,age
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/incorrect_mask.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/incorrect_mask.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask2.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask1.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/normal.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask3.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask3.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask4.jpg,0
/opt/ml/input/data/train/images_segmented/003245_female_Asian_19/mask5.jpg,0
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask1.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask1.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask3.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask4.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/normal.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/normal.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask2.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/mask5.jpg,1
/opt/ml/input/data/train/images_segmented/004467_female_Asian_49/incorrect_mask.jpg,1
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/incorrect_mask.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask1.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/normal.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask2.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
/opt/ml/input/data/train/images_segmented/004083_female_Asian_60/mask3.jpg,2
